ownerage,ednyears,male,ageoffirm,ownershours,country
31,11,1,6,56,Sri Lanka
31,11,1,6,61,Sri Lanka
31,11,1,6,56,Sri Lanka
31,11,1,6,70,Sri Lanka
31,11,1,6,70,Sri Lanka
31,11,1,6,70,Sri Lanka
31,11,1,6,63,Sri Lanka
31,11,1,6,56,Sri Lanka
32,4,0,2,54,Sri Lanka
32,4,1,2,0,Sri Lanka
32,4,1,2,60,Sri Lanka
32,4,1,2,0,Sri Lanka
32,4,1,2,56,Sri Lanka
32,4,1,2,0,Sri Lanka
32,4,1,2,84,Sri Lanka
32,4,1,2,0,Sri Lanka
32,4,1,2,24,Sri Lanka
32,4,1,2,63,Sri Lanka
32,4,1,2,63,Sri Lanka
36,11,0,4,63,Sri Lanka
36,11,1,4,64,Sri Lanka
36,11,1,4,50,Sri Lanka
36,11,1,4,70,Sri Lanka
36,11,1,4,60,Sri Lanka
36,11,1,4,40,Sri Lanka
36,11,1,4,49,Sri Lanka
36,11,1,4,40,Sri Lanka
36,11,1,4,50,Sri Lanka
38,10,0,8,70,Sri Lanka
38,10,1,8,35,Sri Lanka
38,10,1,8,60,Sri Lanka
38,10,1,8,56,Sri Lanka
38,10,1,8,0,Sri Lanka
38,10,1,8,32,Sri Lanka
38,10,1,8,60,Sri Lanka
38,10,1,8,56,Sri Lanka
38,10,1,8,0,Sri Lanka
38,10,1,8,56,Sri Lanka
38,10,1,8,56,Sri Lanka
40,13,0,16,56,Sri Lanka
40,13,1,16,47,Sri Lanka
40,13,1,16,60,Sri Lanka
40,13,1,16,63,Sri Lanka
40,13,1,16,55,Sri Lanka
45,13,0,39,70,Sri Lanka
45,13,1,39,48,Sri Lanka
45,13,1,39,60,Sri Lanka
45,13,1,39,70,Sri Lanka
45,13,1,39,47,Sri Lanka
45,13,1,39,78,Sri Lanka
45,13,1,39,45,Sri Lanka
45,13,1,39,42,Sri Lanka
45,13,1,39,45,Sri Lanka
45,13,1,39,42,Sri Lanka
45,13,1,39,60,Sri Lanka
35,11,0,16,60,Sri Lanka
35,11,1,16,90,Sri Lanka
35,11,1,16,85,Sri Lanka
35,11,1,16,70,Sri Lanka
35,11,1,16,75,Sri Lanka
35,11,1,16,80,Sri Lanka
35,11,1,16,70,Sri Lanka
35,11,1,16,63,Sri Lanka
35,11,1,16,45,Sri Lanka
35,11,1,16,70,Sri Lanka
35,11,1,16,80,Sri Lanka
39,9,0,4,60,Sri Lanka
39,9,1,4,70,Sri Lanka
39,9,1,4,40,Sri Lanka
39,9,1,4,60,Sri Lanka
39,9,1,4,50,Sri Lanka
39,9,1,4,35,Sri Lanka
39,9,1,4,60,Sri Lanka
39,9,1,4,56,Sri Lanka
39,9,1,4,65,Sri Lanka
34,11,0,7,48,Sri Lanka
34,11,1,7,56,Sri Lanka
34,11,1,7,70,Sri Lanka
34,11,1,7,70,Sri Lanka
34,11,1,7,0,Sri Lanka
34,11,1,7,18,Sri Lanka
34,11,1,7,45,Sri Lanka
34,11,1,7,40,Sri Lanka
34,11,1,7,55,Sri Lanka
34,11,1,7,14,Sri Lanka
34,11,1,7,60,Sri Lanka
30,16,0,2,70,Sri Lanka
30,16,1,2,70,Sri Lanka
30,16,1,2,30,Sri Lanka
30,16,1,2,15,Sri Lanka
30,16,1,2,0,Sri Lanka
30,16,1,2,50,Sri Lanka
30,16,1,2,56,Sri Lanka
30,16,1,2,0,Sri Lanka
30,16,1,2,105,Sri Lanka
30,16,1,2,45,Sri Lanka
30,16,1,2,75,Sri Lanka
25,11,0,14,65,Sri Lanka
25,11,1,14,50,Sri Lanka
25,11,1,14,55,Sri Lanka
25,11,1,14,35,Sri Lanka
25,11,1,14,42,Sri Lanka
25,11,1,14,56,Sri Lanka
25,11,1,14,70,Sri Lanka
25,11,1,14,84,Sri Lanka
25,11,1,14,56,Sri Lanka
25,11,1,14,42,Sri Lanka
25,11,1,14,88,Sri Lanka
45,2,0,22,56,Sri Lanka
45,2,1,22,42,Sri Lanka
45,2,1,22,20,Sri Lanka
45,2,1,22,0,Sri Lanka
45,2,1,22,10,Sri Lanka
45,2,1,22,0,Sri Lanka
45,2,1,22,0,Sri Lanka
45,2,1,22,0,Sri Lanka
45,2,1,22,56,Sri Lanka
45,2,1,22,70,Sri Lanka
45,2,1,22,54,Sri Lanka
34,11,0,3,40,Sri Lanka
34,11,1,3,45,Sri Lanka
34,11,1,3,35,Sri Lanka
34,11,1,3,40,Sri Lanka
34,11,1,3,0,Sri Lanka
34,11,1,3,50,Sri Lanka
34,11,1,3,0,Sri Lanka
34,11,1,3,36,Sri Lanka
34,11,1,3,35,Sri Lanka
34,11,1,3,54,Sri Lanka
33,11,0,5,56,Sri Lanka
33,11,1,5,70,Sri Lanka
33,11,1,5,84,Sri Lanka
33,11,1,5,66,Sri Lanka
33,11,1,5,84,Sri Lanka
33,11,1,5,56,Sri Lanka
33,11,1,5,56,Sri Lanka
33,11,1,5,91,Sri Lanka
33,11,1,5,60,Sri Lanka
33,11,1,5,84,Sri Lanka
33,11,1,5,65,Sri Lanka
33,10,0,7,72,Sri Lanka
33,10,1,7,48,Sri Lanka
33,10,1,7,70,Sri Lanka
33,10,1,7,69,Sri Lanka
33,10,1,7,48,Sri Lanka
33,10,1,7,70,Sri Lanka
33,10,1,7,70,Sri Lanka
33,10,1,7,70,Sri Lanka
33,10,1,7,65,Sri Lanka
33,10,1,7,50,Sri Lanka
33,10,1,7,80,Sri Lanka
